Generation: 56 | maxFitness: 1,889639 | maxFitnessGen: 1,776596 | maxFitnessGenBuf: 1,842265
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,4342507 | BrainData : -0,5254248;6,377466;2,84495;7,755481;-11,6269;5,016214;-1,109475;-7,481125;1,808297;4,533972;2,566859;-7,559155;0,6349288;1,620233;-8,009991;1,948846;2,233623;11,98814;7,532465;7,547871;5,018718;-6,034407;4,943609;-1,019505;-0,5548706;4,878956
Index: 15 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,4312144 | BrainData : -0,5254248;3,626398;5,877408;4,934345;-12,13469;2,503006;-1,109475;-5,61827;1,024024;3,717804;2,017778;-7,559155;3,655213;3,684943;-9,000778;7,770397;3,85412;11,98814;5,523673;5,976195;4,029921;-4,934079;2,895003;-1,275607;-0,5548706;4,86351
Index: 16 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,4057067 | BrainData : -0,5254248;4,023608;2,84495;7,02063;-11,6269;5,016214;-1,109475;-7,481125;1,808297;2,83646;2,566859;-7,559155;0,6349288;1,620233;-8,009991;3,654852;4,456129;11,98814;5,736359;8,692804;4,029921;-6,034407;6,168966;-1,019505;-0,5548706;4,878956
Index: 17 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,3780868 | BrainData : -0,5254248;6,377466;2,84495;7,755481;-11,6269;5,016214;-1,41154;-7,481125;1,808297;2,83646;2,566859;-7,559155;0,6349288;1,620233;-8,009991;3,654852;3,9305;11,98814;7,532465;6,017953;5,737451;-6,034407;4,771316;-1,019505;-0,5548706;4,878956
Index: 18 | Name: car 23 | Brain Type: TOP2 | Fitness: 0,377482 | BrainData : -0,5254248;6,377466;2,84495;7,755481;-14,0496;5,016214;-1,109475;-7,481125;1,808297;2,83646;0,2994268;-7,559155;0,6349288;3,976943;-8,009991;3,654852;3,9305;11,98814;7,532465;7,547871;4,029921;-6,034407;6,492059;-1,019505;-0,5548706;4,878956
Index: 19 | Name: car 21 | Brain Type: TOP2 | Fitness: 0,3735552 | BrainData : -0,5254248;6,707797;2,063954;7,755481;-11,6269;5,016214;-1,109475;-5,75971;1,808297;2,83646;2,566859;-7,559155;0,6349288;1,620233;-8,009991;3,654852;4,658136;11,98814;7,625566;9,589435;4,029921;-6,327209;4,771316;-1,019505;-0,5548706;6,988388
Index: 20 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,3735552 | BrainData : -0,5254248;6,377466;2,84495;7,755481;-11,6269;5,016214;-1,109475;-7,481125;1,808297;2,83646;2,566859;-5,619617;0,6349288;1,620233;-8,009991;3,654852;3,9305;11,98814;7,532465;7,547871;4,029921;-6,034407;4,771316;-1,019505;-0,5548706;6,98854
Index: 21 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,3456993 | BrainData : -2,125836;4,4678;-2,580864;3,670565;2,472444;-4,391898;0,5244942;-4,267111;-3,78652;-4,594339;-0,3964705;1,48415;-1,657922;-4,448162;2,185117;1,010716;4,17963;-0,9352131;-0,4413395;0,4528289;0,2792339;0,723918;0,9585567;0,6369038;2,045683;-0,4702039
Index: 22 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3450018 | BrainData : 4,168497;1,246171;3,119756;1,076744;-2,885715;-4,27467;1,183581;1,412939;0,3160195;0,6333213;-1,936199;-2,036602;-3,838337;1,896215;3,385117;-1,900602;-4,941968;-1,415296;0,1169891;2,955601;1,019726;-4,043947;-4,013711;-2,63558;3,508055;1,498281
Index: 23 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,3210554 | BrainData : -0,5254248;6,377466;2,84495;7,755481;-11,6269;5,016214;-1,109475;-7,481125;1,808297;2,83646;2,566859;-7,559155;0,6349288;1,620233;-8,009991;3,043452;3,376651;11,98814;7,532465;7,547871;2,760911;-3,932847;4,771316;-0,2654014;0,8979955;4,878956
