Generation: 30 | maxFitness: 1,852206 | maxFitnessGen: 1,676756 | maxFitnessGenBuf: 1,733629
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 0 | Name: car 20 | Brain Type: TOP2 | Fitness: 1,733629 | BrainData : 1,307612;3,41852;-0,6700667;6,86887;-6,034088;-2,559028;-3,770787;-1,574059;2,075962;-0,5831614;7,157243;-4,142684;4,421748;5,214293;-1,849267;0,9529189;1,70249;10,63745;13,0174;-0,472451;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 1 | Name: car 15 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;4,657313;-0,6700667;6,86887;-6,034088;-2,559028;-3,770787;-1,574059;2,075962;-0,5831614;5,962924;-5,589465;3,042623;6,604473;-1,849267;0,9529189;1,70249;10,63745;13,0174;-0,472451;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 2 | Name: car 18 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;3,41852;-0,6700667;6,86887;-6,034088;-2,559028;-3,770787;-1,574059;2,075962;-0,5831614;6,930293;-5,589465;3,042623;5,214293;-1,849267;0,9529189;1,70249;10,63745;11,55411;-0,472451;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 3 | Name: car 27 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;3,41852;-0,6700667;6,86887;-5,914002;-2,559028;-3,770787;-0,005973458;2,075962;-0,5831614;6,930293;-5,296229;3,042623;5,214293;-1,849267;0,9529189;1,70249;10,63745;13,0174;0,9998076;4,029921;-3,624593;4,771316;-4,409809;-0,5548706;4,877691
Index: 4 | Name: car 31 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;3,41852;-0,6700667;6,86887;-6,034088;-2,559028;-3,770787;-1,574059;2,075962;-0,5831614;6,930293;-5,589465;3,042623;5,214293;-1,849267;-0,4013516;0,1824447;10,63745;13,0174;-2,058981;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 5 | Name: car 32 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;3,41852;-0,6700667;6,86887;-6,034088;-2,559028;-3,770787;-3,4724;2,075962;-0,5831614;9,039757;-4,876742;3,042623;5,214293;-1,849267;-0,2495521;3,313993;10,63745;13,0174;-0,472451;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 6 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;4,618834;-0,6700667;6,86887;-6,034088;-2,559028;-3,770787;-1,574059;2,075962;-0,5831614;6,930293;-5,589465;3,042623;5,214293;-1,849267;0,9529189;1,70249;10,63745;13,0174;0,1663886;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 7 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 2,604943;3,41852;-0,6700667;5,260994;-6,034088;-2,559028;-3,770787;-1,574059;2,075962;-0,5831614;6,266994;-5,589465;3,042623;5,214293;-1,849267;2,595981;1,70249;10,63745;13,0174;-0,472451;4,029921;-3,862193;4,771316;-4,206326;-0,5548706;4,877691
Index: 8 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;4,596087;1,298481;5,93435;-6,034088;-2,559028;-3,770787;-0,9506984;2,075962;-0,01525527;6,930293;-5,589465;3,042623;5,214293;-1,849267;0,9529189;1,70249;10,63745;13,0174;-1,438244;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
Index: 9 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;3,41852;-2,642338;7,467043;-3,724418;-2,559028;-3,770787;-1,7684;2,075962;-0,5831614;6,930293;-5,589465;3,042623;5,214293;-1,017215;0,9529189;1,70249;10,63745;13,0174;-2,169603;4,029921;-2,985263;4,771316;-2,087766;-0,5548706;4,877691
Index: 10 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,733628 | BrainData : 1,307612;3,41852;-2,524067;6,86887;-6,034088;-2,636439;-5,020975;-1,574059;2,075962;-0,5831614;6,930293;-5,589465;3,042623;5,214293;-1,849267;0,9529189;-0,7450923;10,63745;13,5277;-0,472451;4,029921;-4,353898;4,771316;-4,206326;-0,5548706;4,877691
