Generation: 23 | maxFitness: 1,852206 | maxFitnessGen: 1,73073 | maxFitnessGenBuf: 1,729359
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,4731942 | BrainData : 1,463675;-4,904015;-1,343284;-1,618186;-0,6604071;4,716465;-1,498995;-0,391459;-4,274999;2,565297;1,491165;-3,742769;-4,479442;3,294339;-4,949427;-4,232739;-0,4873867;0,4310842;-4,965864;3,668556;-3,678885;2,994452;-2,694585;0,8242922;0,6315775;-1,711715
Index: 15 | Name: car 23 | Brain Type: TOP2 | Fitness: 0,4723093 | BrainData : -2,621533;-0,3248618;-2,180124;4,22409;-3,249546;-0,7948309;-1,527847;1,077421;1,036993;4,028805;8,561037;-4,100764;-1,039654;5,214293;-4,443138;0,9716331;2,432452;8,87553;3,977634;-1,071779;4,029921;0,05281377;3,347086;-3,620416;-0,5548706;4,877691
Index: 16 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,4489727 | BrainData : -1,136192;-0,3248618;-2,50438;4,22409;-4,557619;-0,8073751;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;5,214293;-4,443138;0,9716331;2,432452;8,87553;3,977634;0,5009158;4,029921;-1,70169;4,771316;-5,628581;-0,5548706;4,30178
Index: 17 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,4097483 | BrainData : 1,252968;-0,3248618;-2,50438;4,22409;-2,373209;0,6664568;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;5,214293;-4,443138;0,9716331;4,04933;11,13657;3,977634;-1,071779;4,029921;-1,70169;2,742829;-5,628581;-0,5548706;4,877691
Index: 18 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,4072393 | BrainData : -2,436684;-0,3248618;-0,5287721;4,22409;-8,478418;-2,596601;-1,527847;-0,1977746;0,3064723;1,702368;5,399904;-4,678273;-0,6178178;2,003927;-2,183239;0,9716331;2,432452;10,38366;8,255355;0,955704;2,295798;-4,138168;6,573393;-3,388489;-0,5548706;4,15249
Index: 19 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,4053182 | BrainData : -2,436684;1,625705;-2,344404;5,589632;-6,389191;-2,596601;-1,527847;0,8630611;-1,120101;2,077484;5,399904;-4,112939;0,911275;2,913921;-4,443138;0,9716331;3,843091;10,38366;8,255355;-0,551203;4,029921;-4,138168;5,035686;-5,628581;-0,5548706;4,244584
Index: 20 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,3440059 | BrainData : -1,136192;-0,3248618;-2,50438;4,22409;-4,557619;-0,7948309;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,017075;-1,039654;5,214293;-4,443138;0,9716331;2,432452;11,00556;3,977634;-1,071779;6,089794;-1,70169;4,771316;-5,015456;-0,5548706;4,877691
Index: 21 | Name: car 12 | Brain Type: TotallyRandom | Fitness: 0,3435269 | BrainData : 3,052086;4,852648;-2,59033;-0,7544584;-4,360666;-0,5416565;4,891439;3,444265;2,552774;1,038464;4,173809;0,01399565;-2,94159;-1,467309;0,3666859;-2,098415;0,9721203;0,8497434;-1,405533;0,3345604;-0,3884463;0,5131488;-0,08565855;-4,11869;2,47095;3,446746
Index: 22 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3430977 | BrainData : 3,263364;-3,52365;1,226621;-3,788265;0,1219244;1,420188;2,52455;-4,315386;-1,969266;-1,752617;0,7161636;0,5674167;2,209806;-4,515684;-0,9082432;-2,555578;2,885675;4,266679;-0,6382256;-4,545933;-3,388777;-4,417006;0,0575037;0,3707643;3,449548;3,692639
Index: 23 | Name: car 11 | Brain Type: TotallyRandom | Fitness: 0,3363601 | BrainData : -0,8680387;-2,141111;-3,117394;4,10601;0,3226523;-1,298334;3,233109;4,743843;0,3608508;-0,7272725;-4,973802;-0,7335191;0,5849857;1,616971;4,453512;0,210741;2,785176;-3,090506;-0,634275;4,562901;-0,490983;-0,0919981;3,300625;-3,051568;2,268388;4,204018
Index: 24 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,3306572 | BrainData : -3,590558;-0,3248618;-2,305282;4,22409;-4,557619;-0,7948309;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;5,214293;-4,443138;3,436836;2,432452;8,87553;3,977634;-1,071779;4,029921;-1,70169;4,771316;-5,628581;-0,5548706;3,276388
Index: 25 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,3152769 | BrainData : -1,136192;-0,3248618;-2,209826;4,22409;-4,557619;-0,7948309;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;3,847454;-4,443138;0,9716331;2,432452;8,87553;3,977634;-1,071779;1,993371;-1,70169;3,7474;-5,628581;1,725828;4,877691
Index: 26 | Name: car 28 | Brain Type: TOP2 | Fitness: 0,3152495 | BrainData : -1,136192;-0,3248618;-2,50438;4,22409;-4,557619;-0,7948309;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;5,214293;-4,443138;0,9716331;2,432452;8,87553;3,977634;-1,071779;4,029921;-1,366672;4,771316;-5,628581;1,75899;3,231861
Index: 27 | Name: car 13 | Brain Type: TotallyRandom | Fitness: 0,3146884 | BrainData : -4,321703;3,632787;4,195022;-3,514477;-2,501139;-4,928054;3,82656;3,03563;-4,530849;-2,367072;2,718232;2,599291;-3,168423;-1,051417;-4,830346;-1,743929;1,947853;-2,735441;-0,3494663;0,5116434;2,518225;4,318853;-4,760872;1,326948;2,687796;-1,224397
Index: 28 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,3146879 | BrainData : -1,044024;0,9347245;-2,50438;4,22409;-5,00642;-0,7948309;-3,475606;1,077421;2,993042;4,028805;6,455696;-6,305425;-1,039654;5,214293;-4,443138;0,5945469;2,432452;8,87553;3,977634;-1,071779;4,029921;-3,12676;4,771316;-5,628581;1,832742;4,877691
Index: 29 | Name: car 17 | Brain Type: TOP2 | Fitness: 0,3067864 | BrainData : -3,614214;-2,029104;-2,50438;4,22409;-4,557619;-0,7948309;-1,527847;1,077421;1,036993;4,028805;4,966568;-4,112939;-1,039654;5,214293;-4,443138;0,9716331;1,569614;8,87553;3,977634;-1,071779;4,821801;-1,70169;4,771316;-5,628581;-0,5548706;3,188073
Index: 30 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,3033457 | BrainData : 0,6365126;-0,3248618;-2,50438;3,757543;-2,405794;-0,7948309;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;5,214293;-4,443138;0,9716331;2,432452;8,87553;3,977634;-1,071779;4,029921;-3,603092;4,921456;-5,628581;-0,5548706;2,674646
Index: 31 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,2743731 | BrainData : -2,436684;1,182866;-2,50438;4,22409;-6,860704;-2,596601;-1,527847;-0,1977746;1,036993;4,565079;5,399904;-6,560524;0,911275;3,295269;-4,443138;0,9716331;1,493728;10,38366;8,256378;-2,354499;2,785609;-5,063406;4,771316;-5,628581;-1,195514;4,877691
Index: 32 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,2703511 | BrainData : -2,493682;-2,771692;-1,43578;-2,440353;-1,887761;-2,025742;-0,5949311;-1,109001;-2,123203;3,053033;1,936486;-3,111411;0,3170424;-2,876568;-0,09787035;-4,1888;2,630955;-0,05980921;-3,667983;1,043628;-2,974729;0,8395023;3,158774;-4,818669;-0,5689149;-2,570696
Index: 33 | Name: car 16 | Brain Type: TOP2 | Fitness: 0,2660325 | BrainData : -1,136192;-0,3248618;-2,50438;4,22409;-5,993799;-1,253886;-3,582293;1,077421;1,353636;4,028805;8,529736;-1,693139;-1,039654;5,214293;-6,152662;0,9716331;3,686721;8,87553;3,977634;-0,6470616;4,029921;-1,70169;3,627805;-5,628581;-1,77506;5,950197
Index: 34 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,2655205 | BrainData : -2,436684;-0,5064154;-2,50438;4,22409;-6,860704;0,3119352;-1,146865;-1,504441;1,036993;3,500039;5,399904;-2,018972;0,911275;6,250974;-4,443138;0,9716331;2,432452;11,9362;8,255355;-1,071779;4,029921;-4,587332;4,771316;-5,628581;-1,685307;6,968324
Index: 35 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,2641868 | BrainData : -4,554896;-0,3248618;-6,337111;4,22409;-4,728383;-2,596601;-3,602264;-0,1977746;1,036993;2,077484;5,399904;-4,112939;-0,1853641;7,423141;-4,443138;0,9716331;2,432452;10,38366;8,255355;-1,071779;2,275232;-2,415215;4,771316;-5,628581;-1,898213;4,877691
Index: 36 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,2442454 | BrainData : -0,2826099;-1,559858;-2,862513;4,508315;2,775386;3,013368;0,1851673;-3,696339;1,180305;3,625804;3,046423;-1,205497;-3,898483;-1,552517;-1,21174;-1,952688;-1,184722;-0,5926375;-4,686319;-1,253139;-1,51822;2,327211;4,735992;2,352898;-1,671292;0,5852718
Index: 37 | Name: car 40 | Brain Type: RandomParents | Fitness: 0,2429999 | BrainData : -1,602922;-1,335073;-1,715905;2,284631;2,884182;-2,049683;-2,235162;-0,5325394;-1,55839;3,998919;4,63587;-2,605005;-1,466694;-4,028197;0,3896503;-2,031134;4,359281;0,8504753;-3,362112;-3,099723;-1,643131;-0,7650142;-0,9041982;3,573559;-4,99198;0,9683781
Index: 38 | Name: car 30 | Brain Type: TOP2 | Fitness: 0,2423418 | BrainData : -2,349129;-0,3248618;-0,03552651;4,22409;-4,557619;-0,7948309;-1,527847;1,077421;1,036993;4,028805;6,455696;-4,112939;-1,039654;5,214293;-4,443138;0,9716331;2,432452;8,87553;3,977634;-1,071779;4,029921;-1,70169;4,771316;-5,628581;-2,65481;4,877691
Index: 39 | Name: car 19 | Brain Type: TOP2 | Fitness: 0,242105 | BrainData : -1,136192;-0,346117;-2,50438;4,22409;-7,013198;-0,7948309;-0,2421468;1,077421;1,036993;4,439686;6,455696;-4,121099;-1,039654;5,214293;-4,443138;0,9716331;2
