Generation: 17 | maxFitness: 1,852206 | maxFitnessGen: 1,703677 | maxFitnessGenBuf: 1,757692
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 37 | Brain Type: TOP2 | Fitness: 0,7536087 | BrainData : -1,525845;-0,3248618;-0,2198238;4,22409;-6,947905;-0,7948309;-2,39786;-2,002831;0,9627662;2,348859;7,49372;-4,584614;1,733646;2,813231;-6,763108;0,9716331;1,09202;10,7964;6,201122;-1,071779;4,326869;-3,193269;4,771316;-2,046063;-0,5548706;4,877691
Index: 15 | Name: car 17 | Brain Type: TOP2 | Fitness: 0,7107264 | BrainData : -1,525845;-0,3248618;-0,2198238;3,938121;-4,832415;-0,7948309;-4,549666;-2,002831;0,9627662;2,348859;5,084185;-3,324752;1,733646;2,813231;-6,763108;0,9716331;1,09202;10,7964;6,201122;-1,071779;4,066053;-3,193269;5,08546;-2,046063;-0,5548706;4,877691
Index: 16 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,6679753 | BrainData : -3,473496;-0,3248618;-0,2198238;3,977759;-2,464104;0,438239;-2,914671;-1,956471;3,287824;2,808372;5,852165;-4,972491;1,733646;2,813231;-7,950868;0,1274058;2,30932;10,45957;6,201122;-1,071779;5,73409;-3,193269;2,896742;-3,981693;-0,5548706;4,539925
Index: 17 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,5633802 | BrainData : -3,473496;-0,3248618;-0,2198238;4,22409;-4,832415;0,438239;-2,914671;-3,889928;0,9627662;2,808372;5,852165;-4,972491;1,733646;2,813231;-7,950868;0,1274058;2,30932;10,7964;7,455726;-1,071779;4,066053;-3,193269;4,771316;-3,981693;-0,5548706;4,539925
Index: 18 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,5114831 | BrainData : -1,525845;-0,3248618;-0,2198238;4,22409;-4,832415;-0,7948309;-2,39786;-2,002831;0,9627662;2,348859;5,084185;-1,24206;1,733646;2,813231;-7,369663;0,9716331;1,09202;12,41951;6,201122;-1,071779;4,066053;-3,193269;5,440862;-2,046063;-0,5548706;4,877691
Index: 19 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,4729398 | BrainData : -1,525845;-0,3585155;-0,2198238;4,22409;-4,832415;-0,7948309;-2,39786;-2,002831;0,9627662;2,348859;5,084185;-3,324752;3,615204;2,813231;-6,763108;0,9716331;1,09202;10,7964;6,201122;-1,071779;4,456443;-3,193269;4,771316;-2,046063;-0,5548706;4,630141
Index: 20 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,4332297 | BrainData : -5,228261;-0,3248618;-0,2198238;4,22409;-2,788199;-0,7948309;-2,39786;-2,002831;0,9627662;2,808372;5,084185;-5,661121;3,411268;2,813231;-6,763108;-0,1243404;1,960757;10,7964;6,201122;-3,599326;4,066053;-3,193269;3,089935;-3,981693;-0,5548706;4,877691
Index: 21 | Name: car 19 | Brain Type: TOP2 | Fitness: 0,368026 | BrainData : -1,525845;-0,3248618;-0,2198238;4,22409;-4,832415;-0,7948309;-0,04475355;-2,002831;0,9627662;2,348859;5,084185;-2,02197;1,733646;2,813231;-6,763108;0,9716331;1,09202;10,7964;6,201122;-1,071779;4,066053;-3,193269;6,559818;-2,046063;-0,5548706;4,877691
Index: 22 | Name: car 33 | Brain Type: TOP2 | Fitness: 0,3428632 | BrainData : -1,525845;1,871105;-0,2198238;4,22409;-4,832415;-0,7948309;-3,030981;-2,002831;0,9213495;2,348859;5,084185;-5,712564;1,733646;2,813231;-7,68847;0,9716331;1,09202;12,61621;4,679969;-1,071779;6,156037;-3,193269;4,771316;-2,046063;-0,3973043;3,068805
Index: 23 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,3392546 | BrainData : -1,525845;-0,3248618;-0,2198238;4,22409;-4,832415;-0,7948309;-2,39786;-2,002831;-0,5318966;4,347428;5,084185;-3,324752;1,733646;4,343225;-6,763108;0,9716331;2,475788;12,67871;6,201122;-1,071779;6,178849;-3,193269;4,771316;-1,337171;-0,5548706;4,877691
Index: 24 | Name: car 31 | Brain Type: TOP2 | Fitness: 0,3381694 | BrainData : -1,525845;-0,3248618;-0,2198238;4,22409;-4,832415;-0,1398355;-2,39786;-2,002831;0,9627662;2,348859;5,084185;-3,324752;1,733646;2,813231;-6,763108;3,058913;1,09202;10,7964;6,201122;-1,071779;4,066053;-3,193269;6,927781;-2,046063;-0,5548706;4,877691
Index: 25 | Name: car 40 | Brain Type: RandomParents | Fitness: 0,3224408 | BrainData : -3,24029;-1,339654;0,1630192;-4,256727;-4,344074;-1,987144;-4,81391;-0,5788274;1,939809;-0,6835465;4,219685;-0,6044106;-4,092512;-2,664114;-0,9815841;3,563432;-4,328298;-0,434833;3,077954;4,871302;-3,249521;2,076133;2,534866;-3,231251;1,144984;1,283879
Index: 26 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3224118 | BrainData : 4,291792;0,8260484;1,028553;4,038629;4,249001;3,256737;-4,43344;2,315677;-4,977345;-4,801359;-2,576035;1,364837;-2,860847;1,034449;4,122095;-0,06532145;4,47938;-1,37775;1,860971;-3,851005;0,9347181;1,56188;4,050397;-2,818655;0,2434068;4,771551
