Generation: 57 | maxFitness: 1,889639 | maxFitnessGen: 1,842265 | maxFitnessGenBuf: 1,771763
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 14 | Name: car 13 | Brain Type: TotallyRandom | Fitness: 0,4276783 | BrainData : -4,881229;-0,8113928;4,174656;0,2568822;1,518263;4,262672;4,871098;3,266585;4,265377;-2,735325;-0,6144876;3,53889;0,2593498;2,534908;-0,5860023;2,254915;1,192431;2,045913;2,072731;-1,065536;-3,36071;-0,9025569;-3,874052;-4,219524;-2,816892;1,21064
Index: 15 | Name: car 15 | Brain Type: TOP2 | Fitness: 0,4069116 | BrainData : 0,9769546;3,626398;4,397448;4,934345;-11,6269;3,361041;-1,109475;-6,14957;1,579288;2,83646;2,566859;-7,559155;0,2105296;1,620233;-7,750641;3,943829;3,85412;14,18308;3,5305;5,367894;5,355886;-3,523307;4,771316;-3,729797;-0,5548706;4,86351
Index: 16 | Name: car 28 | Brain Type: TOP2 | Fitness: 0,3941509 | BrainData : 0,9769546;4,643768;4,670338;4,934345;-11,6269;3,361041;-1,109475;-7,378788;1,579288;2,83646;2,566859;-7,559155;0,2105296;0,90938;-8,885633;3,943829;3,85412;14,18308;3,5305;5,367894;5,554585;-3,523307;4,771316;-1,275607;-0,5548706;4,86351
Index: 17 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,3686603 | BrainData : -0,5254248;6,377466;2,84495;7,755481;-11,6269;5,016214;-1,109475;-7,481125;1,808297;2,83646;2,566859;-4,569796;0,6349288;1,620233;-8,009991;3,654852;3,9305;11,98814;9,098821;7,547871;4,029921;-3,827371;4,771316;-1,019505;-0,5548706;6,98854
Index: 18 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,3666525 | BrainData : 1,625772;3,626398;4,397448;4,934345;-11,6269;3,361041;-1,109475;-7,378788;-0,2619795;2,83646;2,566859;-7,559155;0,2105296;1,620233;-8,885633;3,943829;3,540694;14,18308;3,5305;5,367894;4,029921;-3,523307;6,654237;-1,275607;-0,5548706;4,86351
Index: 19 | Name: car 25 | Brain Type: TOP2 | Fitness: 0,3625738 | BrainData : 3,071357;3,626398;3,584978;4,934345;-12,94591;3,361041;-1,109475;-7,378788;1,579288;2,83646;2,984913;-7,559155;-0,5497315;1,620233;-8,885633;3,943829;3,85412;14,18308;3,5305;5,367894;6,018046;-3,523307;4,771316;-1,275607;-0,5548706;4,86351
Index: 20 | Name: car 14 | Brain Type: TotallyRandom | Fitness: 0,3399649 | BrainData : 2,823651;-3,593431;-2,76116;0,03541279;4,62988;-1,594306;1,779075;-4,105925;1,672157;3,615408;0,1478882;-2,853886;-4,976332;-0,7386727;-0,1339717;-3,656852;1,754743;-1,969332;2,457156;-2,417225;-3,694197;4,354541;0,9957452;3,351922;0,6726866;0,4459186
Index: 21 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,3391983 | BrainData : -0,5254248;5,62973;2,063954;7,755481;-11,6269;4,579169;-1,109475;-5,75971;1,808297;2,83646;2,566859;-7,559155;0,6349288;1,620233;-8,009991;3,654852;4,658136;11,98814;6,576763;9,589435;4,029921;-6,272258;4,771316;-1,019505;-0,01850009;7,893148
Index: 22 | Name: car 22 | Brain Type: TOP2 | Fitness: 0,3391541 | BrainData : 0,9769546;3,626398;4,397448;3,246492;-11,6269;3,361041;-1,994699;-7,378788;1,579288;2,83646;2,566859;-7,559155;0,2105296;1,620233;-8,885633;3,943829;3,85412;16,10117;4,353664;5,367894;4,029921;-3,523307;4,771316;-1,275607;0,3378443;4,86351
Index: 23 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3381938 | BrainData : 3,172678;-4,48291;0,2266545;3,225614;1,646858;1,276331;-0,3351359;1,694579;0,2007942;-3,350029;-0,3436904;-0,4694028;-2,572534;0,06144333;3,747697;0,3655152;-2,353868;0,1219087;2,00665;-3,127563;3,645695;-2,401817;-2,059446;-0,09863806;2,260371;1,500975
