Generation: 37 | maxFitness: 2,42142 | maxFitnessGen: 1,657518 | maxFitnessGenBuf: 1,605859
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 13 | Name: car 15 | Brain Type: RandomParents | Fitness: 1,47963 | BrainData : -3,192398;-3,93108;1,474695;-2,695359;2,226512;-2,969935;0,849461;-2,86733;1,532241;0,4701741;-3,069952;-4,771844;2,934947;-3,181724;2,412704;0,6343991;-0,1110581;-2,735478;-1,614532;-0,2012566;1,355003;1,272773;-4,442039;-2,950366;-1,40407;3,734004
Index: 14 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,443603 | BrainData : -3,192398;-3,950754;1,520976;-2,679328;2,275199;-2,989072;0,8593821;-2,865906;1,606934;0,4496291;-3,090508;-4,737478;2,948942;-3,17084;2,399956;0,6156034;-0,1342079;-2,740946;-1,63881;-0,2203216;1,396126;1,240258;-4,485968;-2,991384;-1,432316;3,716097
Index: 15 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,441234 | BrainData : -3,192398;-4,033204;1,50132;-2,666167;2,294747;-2,965509;0,8362802;-2,914152;1,557649;0,4304504;-3,08552;-4,76869;2,948942;-3,227845;2,399956;0,5885431;-0,137641;-2,775211;-1,63881;-0,2059747;1,37588;1,243888;-4,485968;-2,958678;-1,432316;3,700892
Index: 16 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,431922 | BrainData : -3,21638;-3,938966;1,3921;-2,626509;2,23111;-3,001028;0,8070728;-2,866561;1,617938;0,3558576;-3,105439;-4,658194;3,007303;-3,229021;2,355612;0,6038526;-0,1087816;-2,691911;-1,593313;-0,2105988;1,433188;1,235143;-4,498088;-3,03395;-1,409035;3,696782
Index: 17 | Name: car 20 | Brain Type: RandomParents | Fitness: 1,418438 | BrainData : -3,142744;-4,036736;1,454242;-2,670068;2,267664;-3,000489;0,83642;-2,90853;1,496143;0,4307531;-3,132616;-4,793546;2,948942;-3,237426;2,449357;0,6978673;-0,1698281;-2,682878;-1,62493;-0,113444;1,33393;1,185008;-4,485968;-2,963299;-1,450512;3,727431
Index: 18 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,413245 | BrainData : -3,174854;-3,9797;1,490545;-2,745608;2,25928;-2,965509;0,8362802;-2,959638;1,557649;0,438742;-3,084469;-4,808948;2,98263;-3,212552;2,399956;0,6156034;-0,1466879;-2,781894;-1,63881;-0,2318668;1,396126;1,228328;-4,485968;-2,984564;-1,469035;3,784089
Index: 19 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,412971 | BrainData : -3,189786;-3,994232;1,498133;-2,703453;2,25928;-2,965509;0,8135914;-2,914152;1,557649;0,4795821;-3,084469;-4,76869;2,936022;-3,242503;2,435643;0,6156034;-0,1466879;-2,692856;-1,598693;-0,2059747;1,421023;1,242962;-4,451268;-3,025787;-1,432316;3,744148
Index: 20 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,412737 | BrainData : -3,242159;-4,010524;1,461683;-2,669951;2,213157;-2,941787;0,8491753;-2,914152;1,54348;0,4304504;-3,089372;-4,746742;2,948942;-3,212552;2,432986;0,6156034;-0,176581;-2,78771;-1,616516;-0,1959575;1,43671;1,225114;-4,468712;-2,974563;-1,432316;3,743658
Index: 21 | Name: car 5 | Brain Type: RandomParents | Fitness: 1,412204 | BrainData : -3,123428;-3,963034;1,474695;-2,741654;2,25928;-2,984407;0,7907106;-2,948752;1,493569;0,484904;-3,045463;-4,771844;2,97529;-3,228106;2,412704;0,6371678;-0,08825222;-2,730114;-1,585246;-0,2012566;1,410915;1,225114;-4,517404;-3,031358;-1,391042;3,752045
Index: 22 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,394227 | BrainData : -3,124305;-3,963034;1,474695;-2,741654;2,25928;-2,969137;0,8379338;-2,914152;1,532241;0,4659825;-3,045463;-4,771844;2,925086;-3,228106;2,412704;0,6046168;-0,1623065;-2,722526;-1,646364;-0,2012566;1,3572;1,225114;-4,442442;-2,983485;-1,391042;3,704189
