Generation: 85 | maxFitness: 2,42142 | maxFitnessGen: 1,49373 | maxFitnessGenBuf: 1,436869
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 13 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,311202 | BrainData : -3,193875;-4,127151;1,617429;-2,722619;2,263919;-2,793327;0,7525414;-2,912415;1,709382;0,4909877;-3,152117;-5,096572;2,883475;-3,117509;2,230624;0,4931672;-0,2216049;-2,734949;-1,593351;-0,1952452;1,335294;1,302901;-4,280603;-3,177436;-1,41395;3,682983
Index: 14 | Name: car 15 | Brain Type: RandomParents | Fitness: 1,305181 | BrainData : -3,212694;-4,140298;1,605126;-2,688412;2,216253;-2,793829;0,7757806;-2,952363;1,738072;0,4634586;-3,200487;-5,110762;2,85443;-3,12512;2,28633;0,5273817;-0,2216049;-2,665108;-1,558623;-0,1480537;1,329889;1,232885;-4,325;-3,177436;-1,399329;3,637805
Index: 15 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,30399 | BrainData : -3,190953;-4,127151;1,56915;-2,638835;2,237739;-2,793829;0,7119718;-2,935865;1,782025;0,4944238;-3,165268;-5,16361;2,870212;-3,099227;2,287885;0,4604408;-0,2299034;-2,751523;-1,568544;-0,1216199;1,34073;1,248052;-4,325192;-3,177436;-1,37565;3,660007
Index: 16 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,286561 | BrainData : -3,235022;-4,127151;1,547791;-2,714573;2,204568;-2,798027;0,7525414;-2,952363;1,73402;0,4634586;-3,170861;-5,097018;2,872997;-3,11578;2,29251;0,4453563;-0,253456;-2,70613;-1,574361;-0,1880264;1,33994;1,280781;-4,325192;-3,199448;-1,383194;3,695787
Index: 17 | Name: car 18 | Brain Type: RandomParents | Fitness: 1,286242 | BrainData : -3,166897;-4,106421;1,562334;-2,708606;2,220809;-2,798095;0,7525414;-2,997816;1,73402;0,4555848;-3,170861;-5,098752;2,883475;-3,097496;2,268645;0,4603482;-0,2318957;-2,70613;-1,639172;-0,1406865;1,33994;1,280781;-4,374533;-3,17525;-1,367386;3,697354
Index: 18 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,262861 | BrainData : -3,193875;-4,077387;1,558801;-2,677921;2,29493;-2,74463;0,7137448;-2,887864;1,709382;0,4671333;-3,183864;-5,098752;2,883475;-3,131508;2,18478;0,4677694;-0,2216049;-2,741729;-1,593351;-0,1247455;1,34073;1,252819;-4,249596;-3,177436;-1,385848;3,677107
Index: 19 | Name: car 19 | Brain Type: RandomParents | Fitness: 1,231481 | BrainData : -3,200945;-4,158786;1,610355;-2,64396;2,339898;-2,79812;0,7372738;-2,93497;1,727469;0,3897859;-3,191442;-5,116797;2,810204;-3,160348;2,269757;0,4713981;-0,2264807;-2,752137;-1,670056;-0,1474654;1,418518;1,176906;-4,391823;-3,103877;-1,382994;3,65572
Index: 20 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,14839 | BrainData : -3,185939;-4,091868;1,597103;-2,723747;2,263919;-2,74463;0,7525414;-2,90332;1,709382;0,4780526;-3,13978;-5,098752;2,879621;-3,117509;2,230624;0,4941552;-0,2216049;-2,734654;-1,622904;-0,1394236;1,34073;1,311622;-4,300808;-3,164845;-1,41395;3,660455
Index: 21 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,084868 | BrainData : -3,178542;-4,127151;1,610288;-2,677921;2,263919;-2,74463;0,7437676;-2,866576;1,727403;0,4899586;-3,168781;-5,098752;2,883475;-3,084885;2,182636;0,4931672;-0,2216049;-2,698613;-1,593351;-0,166863;1,320562;1,280781;-4,273273;-3,177436;-1,438331;3,642828
Index: 22 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,028392 | BrainData : -3,243251;-4,127151;1,597103;-2,718235;2,22258;-2,735789;0,7525414;-2,877945;1,731631;0,5389189;-3,168781;-5,098752;2,902378;-3,106169;2,230624;0,5209042;-0,1945019;-2,734654;-1,599164;-0,166863;1,34073;1,3307;-4,34209;-3,177436;-1,431211;3,718899
