Generation: 356 | maxFitness: 2,42142 | maxFitnessGen: 1,630954 | maxFitnessGenBuf: 1,602402
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 14 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,449556 | BrainData : -2,660753;-3,557667;2,084293;-2,983234;2,551703;-2,423472;1,280997;-2,77557;1,609407;0,1374181;-3,977991;-4,836614;2,365922;-3,74289;2,504138;0,685627;0,1079028;-2,693838;-1,694308;-0,1624423;1,370408;1,242069;-4,528379;-3,473328;-1,465096;3,778687
Index: 15 | Name: car 15 | Brain Type: RandomParents | Fitness: 1,443686 | BrainData : -2,770956;-3,568356;2,097154;-2,962556;2,589033;-2,397995;1,193525;-2,720797;1,59956;0,1085882;-4,109091;-4,759518;2,462135;-3,698065;2,462232;0,5660824;0,1467551;-2,722109;-1,701804;-0,2350394;1,334073;1,287995;-4,584469;-3,664675;-1,498756;3,868348
Index: 16 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,427082 | BrainData : -2,69797;-3,56159;2,13283;-2,966965;2,577771;-2,443678;1,303124;-2,77557;1,638838;0,1374181;-3,945754;-4,836614;2,350816;-3,685863;2,504138;0,6357262;0,1136683;-2,637077;-1,648446;-0,2078794;1,34041;1,242069;-4,56293;-3,52264;-1,413491;3,74955
Index: 17 | Name: car 23 | Brain Type: RandomParents | Fitness: 1,426292 | BrainData : -2,744954;-3,5859;2,074071;-2,950925;2,551703;-2,443678;1,362999;-2,735806;1,655776;0,1374181;-3,986062;-4,836614;2,367685;-3,758159;2,504138;0,6357262;0,08033909;-2,649977;-1,693377;-0,1624423;1,343849;1,242069;-4,56293;-3,473328;-1,410029;3,74955
Index: 18 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,404529 | BrainData : -2,743538;-3,585256;2,071803;-2,977482;2,592733;-2,405447;1,109535;-2,705329;1,549917;0,1022513;-4,110104;-4,779496;2,432409;-3,666807;2,525743;0,6830616;0,1034744;-2,644012;-1,669714;-0,2567769;1,379664;1,286505;-4,563248;-3,622282;-1,46986;3,853129
Index: 19 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,400998 | BrainData : -2,689579;-3,593225;2,155476;-2,931738;2,577401;-2,429543;1,160022;-2,77863;1,559709;0,07820727;-4,072247;-4,725071;2,413321;-3,697768;2,490016;0,6145821;0,1788108;-2,671228;-1,727139;-0,1312695;1,317631;1,19329;-4,497573;-3,605872;-1,504709;3,888212
Index: 20 | Name: car 14 | Brain Type: RandomParents | Fitness: 1,398353 | BrainData : -2,764844;-3,621292;2,094198;-3,055297;2,673156;-2,394277;1,166052;-2,770096;1,481543;0,05912176;-4,113579;-4,79387;2,401674;-3,705644;2,602333;0,6561509;0,1433012;-2,704784;-1,682554;-0,2350394;1,401067;1,263803;-4,564054;-3,550481;-1,483214;3,894204
Index: 21 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,255376 | BrainData : -2,709843;-3,589764;2,050885;-2,986258;2,654906;-2,431036;1,180019;-2,800219;1,529028;0,07123207;-4,110104;-4,777201;2,418164;-3,684337;2,498276;0,689451;0,1433012;-2,69731;-1,634403;-0,2650919;1,371382;1,303509;-4,515953;-3,634684;-1,483214;3,88211
Index: 22 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,253322 | BrainData : -2,69797;-3,59856;2,067948;-2,976753;2,537109;-2,443678;1,336366;-2,77557;1,638838;0,1630342;-3,997109;-4,836614;2,318743;-3,727829;2,516557;0,5879505;0,1079028;-2,649977;-1,715389;-0,1624423;1,411766;1,261229;-4,56293;-3,473328;-1,435776;3,749522
Index: 23 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,226009 | BrainData : -2,69797;-3,563236;2,110225;-2,976753;2,509092;-2,443678;1,376503;-2,824975;1,606027;0,1374181;-3,986062;-4,805091;2,318743;-3,727829;2,504138;0,6357262;0,1079028;-2,649977;-1,694308;-0,1764183;1,370408;1,242069;-4,56293;-3,455544;-1,469725;3,749092
