Generation: 193 | maxFitness: 2,42142 | maxFitnessGen: 1,543001 | maxFitnessGenBuf: 1,556111
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 14 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,397143 | BrainData : -2,923108;-3,899791;2,369264;-2,943423;2,061118;-2,657427;0,9226591;-3,254171;1,711601;0,2493864;-3,550156;-4,861507;2,855754;-3,370152;2,488916;0,5445461;0,1747035;-2,734534;-1,584674;-0,3156284;1,236027;1,324318;-4,413646;-3,234628;-1,426691;3,719469
Index: 15 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,383949 | BrainData : -2,923108;-3,91584;2,369264;-2,961041;2,013588;-2,657427;0,9423549;-3,211705;1,742107;0,2493864;-3,578163;-4,843532;2,855754;-3,326415;2,492073;0,5418333;0,1285855;-2,734534;-1,575655;-0,3156284;1,183324;1,308003;-4,43845;-3,211287;-1,467504;3,729692
Index: 16 | Name: car 11 | Brain Type: RandomParents | Fitness: 1,3526 | BrainData : -2,908997;-3,912048;2,354173;-3,013071;2,057431;-2,651736;0,8931298;-3,142022;1,732727;0,2770166;-3,559066;-4,922963;2,830951;-3,416285;2,432307;0,5418333;0,1130086;-2,753892;-1,576423;-0,3156284;1,226076;1,357527;-4,394286;-3,185032;-1,421107;3,763223
Index: 17 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,352096 | BrainData : -2,968598;-3,854056;2,369264;-2,967556;2,044441;-2,657427;0,9231328;-3,211705;1,728591;0,2613615;-3,558779;-4,885056;2,868727;-3,377536;2,498287;0,5418333;0,1261221;-2,734534;-1,575655;-0,3156284;1,226076;1,324318;-4,417457;-3,215525;-1,484139;3,729692
Index: 18 | Name: car 17 | Brain Type: RandomParents | Fitness: 1,322859 | BrainData : -2,956648;-3,849931;2,390511;-3,033613;2,039848;-2,704048;0,9497365;-3,254102;1,748821;0,2582408;-3,558076;-4,899601;2,845626;-3,37677;2,532379;0,4916727;0,158674;-2,778442;-1,607865;-0,3213908;1,20668;1,335438;-4,394286;-3,177751;-1,491847;3,734537
Index: 19 | Name: car 15 | Brain Type: RandomParents | Fitness: 1,259619 | BrainData : -2,951786;-3,912048;2,395891;-3,02844;2,013588;-2,651736;0,9198366;-3,20315;1,732727;0,2970358;-3,559066;-4,885056;2,84754;-3,447469;2,481166;0,5418333;0,1130086;-2,716862;-1,6092;-0,3156284;1,226076;1,369949;-4,363188;-3,234628;-1,467504;3,740479
Index: 20 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,105835 | BrainData : -2,923108;-3,899791;2,369264;-2,976508;2,013588;-2,657427;0,9823757;-3,18126;1,732727;0,2674401;-3,560693;-4,885056;2,872386;-3,370152;2,474148;0,5418333;0,08109649;-2,734534;-1,575655;-0,2738068;1,193298;1,324318;-4,417457;-3,234628;-1,513402;3,715881
Index: 21 | Name: car 24 | Brain Type: RandomParents | Fitness: 1,102307 | BrainData : -2,927338;-3,899791;2,399773;-3,059273;2,013588;-2,657427;0,9771336;-3,195964;1,763802;0,2493864;-3,482503;-4,834172;2,861612;-3,365222;2,52075;0,5418333;0,1062045;-2,734534;-1,621539;-0,2785273;1,226076;1,381395;-4,394286;-3,285049;-1,480738;3,772464
Index: 22 | Name: car 18 | Brain Type: RandomParents | Fitness: 1,048484 | BrainData : -2,927338;-3,899791;2,342337;-2,975485;2,015336;-2,650849;0,9423549;-3,145376;1,716702;0,2120307;-3,482054;-4,893977;2,866191;-3,32319;2,488916;0,5418333;0,1130086;-2,774109;-1,575655;-0,2824936;1,248073;1,356549;-4,433883;-3,266187;-1,485543;3,77005
Index: 23 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,045503 | BrainData : -2,923108;-3,899791;2,358937;-2,946222;2,013588;-2,657427;0,9423549;-3,251541;1,732727;0,2200716;-3,551982;-4,932012;2,855754;-3,370152;2,45254;0,5418333;0,1143688;-2,734534;-1,576777;-0,3156284;1,231531;1,372773;-4,436675;-3,234628;-1,467504;3,72015
Index: 24 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,03651 | BrainData : -2,923108;-3,889992;2,345335;-3,016112;2,045456;-2,657427;0,9423549;-3,238754;1,761095;0,2493864;-3,558779;-4,885056;2,855754;-3,370152;2,471369;0,5517651;0,1415157;-2,777761;-1,575655;-0,3156284;1,221264;1,361442;-4,41214;-3,234628;-1,487188;3,729692
Index: 25 | Name: car 19 | Brain Type: RandomParents | Fitness: 0,8453365 | BrainData : -2,959736;-3,903555;2,412299;-2,989702;2,072076;-2,699666;0,9315725;-3,240958;1,732727;0,2582408;-3,5169;-4,839963;2,850183;-3,35016;2,511099;0,4922096;0,1311255;-2,771526;-1,575655;-0,2706881;1,262694;1,308344;-4,394286;-3,23036;-1,486211;3,687368
Index: 26 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,7299417 | BrainData : -2,985505;-3,899043;2,416922;-3,024941;2,032371;-2,703612;0,8998343;-3,254102;1,774747;0,2582408;-3,558076;-4,852544;2,896766;-3,37677;2,577669;0,4916727;0,1443146;-2,79698;-1,607865;-0,3495674;1,19637;1,360374;-4,394286;-3,210329;-1,535321;3,734537
Index: 27 | Name: car 13 | Brain Type: RandomParents | Fitness: 0,7290903 | BrainData : -2,941495;-3,859235;2,405492;-3,013071;2,013588;-2,657427;0,9354009;-3,138751;1,732727;0,2278991;-3,564292;-4,885056;2,804527;-3,351459;2,488916;0,5539741;0,1130086;-2,734534;-1,575655;-0,3030186;1,267196;1,357431;-4,443087;-3,234352;-1,497762;3,731189
Index: 28 | Name: car 14 | Brain Type: RandomParents | Fitness: 0,7020484 | BrainData : -2,96512;-3,899791;2,41671;-3,057518;2,013588;-2,657427;0,9771336;-3,181789;1,732727;0,2810594;-3,559509;-4,802389;2,830951;-3,407218;2,459683;0,5174927;0,1151444;-2,705958;-1,584386;-0,2359595;1,216836;1,407141;-4,391137;-3,262251;-1,503205;3,73539
Index: 29 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,5661014 | BrainData : -2,927338;-3,899791;2,369264;-2,966794;2,02081;-2,631811;0,9423549;-3,216525;1,732727;0,2298697;-3,545191;-4,885056;2,781376;-3,370152;2,488916;0,5539741;0,1130086;-2,734534;-1,575655;-0,3292619;1,263485;1,357431;-4,401956;-3,217022;-1,546844;3,733212
Index: 30 | Name: car 28 | Brain Type: TotallyRandom | Fitness: 0,3455483 | BrainData : -2,13353;-3,507251;4,097567;-3,22345;4,443478;4,062815;0,1108427;1,011782;-1,435781;3,069983;-1,016174;0,6181126;-0,2636271;1,71279;2,5239;0,8160262;-1,806204;-0,8405657;2,079389;2,072035;-0,8035488;-1,741437;-1,672599;-3,451524;1,304315;3,301461
Index: 31 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,342134 | BrainData : 3,559075;1,804827;2,4024;-4,242384;4,837153;4,551337;-0,6241985;-0,000537172;3,102865;-4,198166;-1,716388;-2,481689;-2,787036;-4,059358;4,352654;3,391559;3,551829;4,338887;-3,29429;4,104129;-2,467711;4,410903;-0,09776059;1,343107;-0,9687011;4,391706
Index: 32 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,3410343 | BrainData : -2,777026;-3,050288;-1,773195;-4,096311;1,77447;-0,654573;4,79808;-3,862388;3,787929;0,2036829;-3,784353;-0,2690105;1,812883;-1,314057;0,1385083;4,388419;-3,403332;-4,112175;4,390574;-4,557032;0,4403924;-4,209436;1,537374;-4,571248;1,351774;-3,875725
Index: 33 | Name: car 32 | Brain Type: TotallyRandom | Fitness: 0,3309902 | BrainData : -3,675987;-3,086758;-1,72417;-2,431577;-0,6509943;0,1094337;0,164382;-1,855371;2,494285;0,8808331;-1,288342;-1,883051;-1,89118;-4,522945;-0,2145772;-0,140491;-0,6359119;-4,463339;4,118864;-0,1423831;-3,219927;-1,622393;-4,653405;1,16036;1,454;-3,095944
Index: 34 | Name: car 29 | Brain Type: TotallyRandom | Fitness: 0,3219878 | BrainData : 0,4138393;-2,249352;4,351945;1,662042;-2,955469;2,882242;-4,283505;1,868362;1,22288;0,1710792;4,781925;3,274961;3,449309;2,863247;3,087853;2,625355;-4,160635;-1,379938;3,094338;4,745071;-4,8413;1,100548;-0,02736521;0,3461485;4,737482;0,02515841
Index: 35 | Name: car 1 | Brain Type: RandomParents | Fitness: 0,3218746 | BrainData : 0,5716476;-2,920232;3,80686;3,673268;3,776967;-4,618507;1,550336;-2,827286;-3,946049;2,898438;2,777795;4,778386;-3,489838;1,428156;4,429225;0,7286782;-0,2736996;-1,151863;2,501372;-1,999011;2,541461;-1,415879;0,4536648;0,8709164;1,91158;-0,3232203
Index: 36 | Name: car 30 | Brain Type: TotallyRandom | Fitness: 0,3175527 | BrainData : -2,889629;3,290509;4,288601;1,972194;-2,759648;-0,06218863;1,593158;-4,35047;-3,885969;1,228523;4,63427;2,321098;-0,7898812;-0,3047676;1,186683;-0,1769276;-3,126849;-2,720994;-0,8394341;-3,331618;1,923445;1,531453;4,690238;-0,9125285;1,061093;0,9850092
Index: 37 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,3173475 | BrainData : -3,4593;3,468823;-1,945962;-4,524837;-4,433449;-4,812913;3,345385;0,527473;-1,089365;-3,687334;1,290751;4,06071;-2,839267;-0,8063512;0,9569164;0,5086331;-4,310003;-0,5613773;2,144606;0,0268057;-0,58369;-1,37759;0,421753;1,161534;4,845678;2,861329
Index: 38 | Name: car 27 | Brain Type: TotallyRandom | Fitness: 0,3168908 | BrainData : 0,2915483;-4,406754;-4,109547;-2,666135;-3,853441;-2,231092;3,220359;-0,846848;1,298637;-2,608896;-3,48197;-4,47883;3,335108;-2,664894;2,673187;-3,094224;3,31512;-2,39044;-3,62987;-2,181944;4,307326;3,167422;-1,730252;-0,8238764;1,181588;3,893242
Index: 39 | Name: car 50 | Brain Type: RandomParents | Fitness: 0,3164046 | BrainData : -1,880703;-2,029219;3,213926;0,9587054;-0,9719558;4,396043;-1,872689;-3,084556;-1,796296;4,460975;-1,40203;2,155607;-0,9457393;4,306503;-1,50024;0,6791549;-3,958806;0,8461099;-3,12224;3,504766;2,089306;-3,069324;1,836002;-1,809497;4,188917;-2,836628
Index: 40 | Name: car 26 | Brain Type: TotallyRandom | Fitness: 0,3161043 | BrainData : 0,4742293;2,419388;2,979219;2,771355;1,491417;3,12476;-2,05039;2,201422;-4,778383;-4,296689;0,8882313;-3,738647;-0,1282911;4,959943;-1,493848;-1,907188;3,243042;3,042464;-4,437817;-0,3875189;3,025508;4,785664;0,8383603;0,8435516;1,28145;4,640099
Index: 41 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3153121 | BrainData : -4,086308;0,9979515;2,34269;4,673647;3,484705;-0,8271737;-1,825828;1,894876;-4,187109;3,146694;-4,776014;-2,104503;3,673769;-3,793937;3,668691;2,06276;-0,3733327;-1,35497;-3,78075;3,631622;4,583357;3,797998;-2,919219;2,136674;2,09238;-0,6559528
Index: 42 | Name: car 34 | Brain Type: TotallyRandom | Fitness: 0,3152034 | BrainData : -4,326525;4,682022;-1,606663;1,437587;3,465278;-3,14725;0,8422022;4,186558;2,531497;-0,4412575;4,841678;-3,832255;3,31373;4,663713;-3,918342;-4,708807;-3,942263;1,804802;4,842996;2,727064;-1,143625;-3,057941;3,21569;2,507337;3,459299;4,082077
Index: 43 | Name: car 25 | Brain Type: TotallyRandom | Fitness: 0,3019519 | BrainData : -3,194989;-0,004658222;2,181786;3,484162;-1,39884;-2,438468;-1,461757;3,985072;2,604183;1,047001;-3,668505;-1,326969;-4,992794;2,711589;2,236737;4,806766;-3,533098;2,812572;2,605921;-1,290293;-3,19798;-1,70327;-0,3739719;-2,589293;3,790346;-2,344963
Index: 44 | Name: car 31 | Brain Type: TotallyRandom | Fitness: 0,281141 | BrainData : -3,11364;4,205876;-0,3791528;-3,727661;3,204472;3,557573;-0,4223485;4,689457;-1,437705;3,364834;3,010546;-3,584097;-0,2426667;1,061899;3,952088;-0,4502587;-2,158325;3,672895;0,7444568;3,072342;-3,584899;4,890889;0,5546145;-0,4745393;-0,04663277;-3,01848
Index: 45 | Name: car 22 | Brain Type: RandomParents | Fitness: 0,2557476 | BrainData : 4,866796;-3,818283;3,773782;-0,4006953;1,808949;1,604978;0,8073249;2,390653;1,256788;2,65089;-3,835556;-2,7773;-4,703964;-3,959872;-2,662055;4,786591;-2,704621;-3,382264;0,03222754;-2,348451;-0,7775826;0,597959;-4,344707;-3,53058;-0,1219459;-4,931546
Index: 46 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,2502252 | BrainData : -0,6784301;0,1795011;-4,650259;-3,330207;0,1161795;4,137251;-1,724391;4,744968;-1,237361;4,695138;4,725204;-0,5081553;1,089916;-1,377167;-3,261082;3,33943;4,669397;2,551749;2,112294;2,070321;-1,014975;-1,365965;4,547568;1,791837;-1,998786;3,918734
Index: 47 | Name: car 21 | Brain Type: RandomParents | Fitness: 0,2303195 | BrainData : 3,721363;-2,095249;-4,085165;-4,307698;-0,2831553;1,501789;2,949257;4,012218;-3,065137;1,411939;-2,660628;0,3740817;2,814218;-0,7943145;-0,2522014;0,2151561;-1,710336;4,856748;4,473133;-3,696569;4,630249;3,354535;-4,118203;2,161756;-1,274627;-3,328857
Index: 48 | Name: car 20 | Brain Type: RandomParents | Fitness: 0,2298641 | BrainData : 4,471981;4,947022;4,6101
