Generation: 78 | maxFitness: 2,42142 | maxFitnessGen: 1,462078 | maxFitnessGenBuf: 1,513374
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 13 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,311082 | BrainData : -3,256293;-4,162476;1,537278;-2,609674;2,364164;-2,798378;0,7490275;-2,94588;1,625839;0,4768787;-3,147423;-5,053359;2,890637;-3,138418;2,220285;0,4817415;-0,2924173;-2,78266;-1,666911;-0,1699446;1,345783;1,241738;-4,357647;-3,146441;-1,382994;3,620106
Index: 14 | Name: car 27 | Brain Type: TotallyRandom | Fitness: 1,306459 | BrainData : -4,475264;-4,634483;0,7859845;1,725745;0,09200621;-0,6545572;3,259604;3,691648;0,8907146;-0,813201;3,042427;0,03788996;1,25323;3,731706;-2,720134;-2,144809;3,119623;-4,101851;-3,173289;-0,5069332;0,7968302;-3,733802;3,284012;1,222547;0,7303352;-3,787931
Index: 15 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,295061 | BrainData : -3,231267;-4,102673;1,537278;-2,609674;2,364164;-2,798378;0,7490275;-2,94588;1,625839;0,4768787;-3,107276;-5,012663;2,923184;-3,162832;2,247962;0,5058815;-0,2441484;-2,756297;-1,613379;-0,1591159;1,32716;1,281064;-4,392067;-3,114964;-1,353897;3,635364
Index: 16 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,265537 | BrainData : -3,248583;-4,107178;1,483626;-2,581583;2,364164;-2,795807;0,7140378;-2,89484;1,64389;0,4861445;-3,084557;-4,962063;2,914355;-3,173371;2,215257;0,5074767;-0,2936639;-2,756297;-1,719172;-0,1815385;1,397511;1,324623;-4,3906;-3,146441;-1,345002;3,58843
Index: 17 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,245402 | BrainData : -3,278582;-4,167966;1,567405;-2,609674;2,377628;-2,798378;0,7490275;-2,9121;1,610542;0,442918;-3,103463;-5,010593;2,892706;-3,162832;2,220285;0,5058815;-0,2272354;-2,756297;-1,670534;-0,1591159;1,345783;1,315955;-4,391729;-3,146441;-1,379609;3,589304
Index: 18 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,244096 | BrainData : -3,231267;-4,143443;1,537278;-2,637035;2,364164;-2,798378;0,7331225;-2,94588;1,625839;0,4768787;-3,107276;-4,999206;2,890637;-3,120179;2,220285;0,5058815;-0,2519825;-2,756297;-1,6629;-0,135438;1,345783;1,322598;-4,357647;-3,116551;-1,382994;3,60487
Index: 19 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,18886 | BrainData : -3,188618;-4,150845;1,573247;-2,609674;2,364164;-2,80917;0,7878349;-2,994509;1,625839;0,4683308;-3,115851;-5,053016;2,890637;-3,181518;2,220285;0,5058815;-0,2734714;-2,794357;-1,6629;-0,1591159;1,345783;1,307897;-4,373951;-3,146441;-1,382994;3,577098
Index: 20 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,185157 | BrainData : -3,190017;-4,107178;1,527352;-2,610802;2,364164;-2,758514;0,7339214;-2,934901;1,590037;0,4993012;-3,146903;-4,903041;2,942144;-3,094223;2,245837;0,6010718;-0,2801413;-2,804561;-1,687889;-0,1966649;1,445078;1,281064;-4,423732;-3,143924;-1,371865;3,645144
Index: 21 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,184367 | BrainData : -3,25245;-4,101637;1,537278;-2,611721;2,325562;-2,798378;0,7986199;-2,94588;1,625839;0,4493536;-3,107276;-5,02964;2,925057;-3,195713;2,216209;0,5058815;-0,2519825;-2,766176;-1,67512;-0,1591159;1,345783;1,281064;-4,394122;-3,175823;-1,414306;3,620106
Index: 22 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,097265 | BrainData : -3,200801;-4,121556;1,537278;-2,609674;2,364164;-2,798378;0,7655932;-2,94588;1,625839;0,4768787;-3,107276;-5,056323;2,890637;-3,162832;2,220285;0,4790539;-0,2519825;-2,756297;-1,6629;-0,1373732;1,345783;1,281064;-4,357647;-3,128249;-1,427907;3,651677
