Generation: 329 | maxFitness: 2,42142 | maxFitnessGen: 1,686924 | maxFitnessGenBuf: 1,588142
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 14 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,391665 | BrainData : -2,698028;-3,58635;2,232313;-2,943706;2,7306;-2,45311;1,140472;-2,892138;1,664198;0,1097259;-3,916584;-4,65269;2,586527;-3,747809;2,489269;0,5545174;0,2113151;-2,734698;-1,603781;-0,1388343;1,413499;1,274253;-4,584583;-3,363753;-1,381156;3,808468
Index: 15 | Name: car 20 | Brain Type: RandomParents | Fitness: 1,390061 | BrainData : -2,670596;-3,551505;2,178246;-2,943706;2,728063;-2,517215;1,086836;-2,843465;1,69233;0,1246638;-3,916584;-4,736051;2,509097;-3,77302;2,503087;0,5494438;0,2391682;-2,68661;-1,514502;-0,09157636;1,454252;1,293565;-4,570374;-3,427462;-1,350711;3,800266
Index: 16 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,389781 | BrainData : -2,698028;-3,580206;2,207256;-2,957746;2,705852;-2,532539;1,047638;-2,939303;1,709382;0,1108428;-3,916584;-4,717548;2,534736;-3,779475;2,489269;0,4905139;0,1761508;-2,734698;-1,587141;-0,1640732;1,450459;1,366091;-4,558119;-3,363753;-1,381138;3,832078
Index: 17 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,383 | BrainData : -2,674632;-3,554415;2,224374;-2,934256;2,650001;-2,464751;1,021849;-2,844395;1,719397;0,06693219;-3,99469;-4,659103;2,49497;-3,755763;2,52386;0,4888185;0,1302934;-2,632017;-1,523295;-0,1668693;1,44309;1,288773;-4,581337;-3,469951;-1,416412;3,810009
Index: 18 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,3055 | BrainData : -2,698028;-3,58635;2,27203;-2,897757;2,722566;-2,496945;1,090592;-2,892138;1,713919;0,1097259;-3,873766;-4,681214;2,541877;-3,819592;2,509246;0,5256837;0,2497842;-2,734698;-1,59523;-0,1694755;1,496941;1,318993;-4,584583;-3,353115;-1,381156;3,808468
Index: 19 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,294698 | BrainData : -2,698028;-3,58635;2,232313;-2,943706;2,677534;-2,472984;1,090592;-2,892138;1,709382;0,1097259;-3,916584;-4,681214;2,541877;-3,777574;2,489269;0,4974306;0,2113151;-2,734698;-1,612352;-0,1290677;1,44961;1,365324;-4,584583;-3,363753;-1,381156;3,808468
Index: 20 | Name: car 4 | Brain Type: RandomParents | Fitness: 1,19075 | BrainData : -2,631836;-3,546158;2,33532;-2,954805;2,658774;-2,482497;1,10115;-2,836326;1,703832;0,05841559;-3,967419;-4,650385;2,4137;-3,755607;2,503572;0,4888185;0,1141244;-2,578498;-1,491998;-0,1328654;1,433616;1,243006;-4,560188;-3,478724;-1,452528;3,795347
Index: 21 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,188588 | BrainData : -2,773352;-3,543833;2,200312;-2,943706;2,745256;-2,522612;1,053046;-2,845955;1,671036;0,1311038;-3,875765;-4,710418;2,525995;-3,820793;2,491565;0,4933192;0,2167874;-2,680737;-1,605955;-0,14174;1,483566;1,324363;-4,52442;-3,388466;-1,381156;3,783984
Index: 22 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,040442 | BrainData : -2,746708;-3,556816;2,17091;-2,943706;2,772796;-2,515625;1,04232;-2,830465;1,688992;0,1893235;-3,958188;-4,730344;2,462062;-3,889446;2,532576;0,5655293;0,1661695;-2,699266;-1,606104;-0,1207675;1,454252;1,297347;-4,602259;-3,403402;-1,429438;3,816881
Index: 23 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,021529 | BrainData : -2,698028;-3,58635;2,237088;-2,943706;2,748398;-2,496945;1,090592;-2,905143;1,709382;0,1539866;-3,916584;-4,687724;2,591124;-3,774375;2,489269;0,5256837;0,2458416;-2,760547;-1,587141;-0,1376181;1,432699;1,269053;-4,632645;-3,354214;-1,365534;3,808468
Index: 24 | Name: car 27 | Brain Type: TotallyRandom | Fitness: 0,931173 | BrainData : -3,178306;-2,624249;1,945014;2,376822;-1,794844;3,32684;1,846824;-2,883588;0,2520938;-1,992399;4,578856;4,785514;-0,3871317;2,935549;-4,308136;-0,8735614;-3,631529;-0,4008083;0,4965286;1,064877;-1,235292;-2,827796;-2,479499;-2,638667;-2,82367;-0,1255612
Index: 25 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,9230708 | BrainData : -2,702937;-3,535916;2,33532;-2,954805;2,664765;-2,482497;1,067326;-2,836326;1,735215;0,07558349;-3,967419;-4,627695;2,4137;-3,755607;2,503572;0,4888185;0,1141244;-2,561326;-1,466257;-0,1562227;1,462207;1,245158;-4,587115;-3,478724;-1,455135;3,810087
Index: 26 | Name: car 19 | Brain Type: RandomParents | Fitness: 0,9037839 | BrainData : -2,671368;-3,572109;2,357431;-2,954805;2,660353;-2,486437;1,100595;-2,794292;1,735215;0,05841559;-3,950625;-4,627695;2,421822;-3,755607;2,503572;0,4888185;0,1008919;-2,593984;-1,491998;-0,1328654;1,474271;1,243006;-4,617758;-3,488252;-1,452528;3,810087
Index: 27 | Name: car 41 | Brain Type: TOP2 | Fitness: 0,8956631 | BrainData : -2,698028;-3,63223;2,190311;-2,963621;2,722566;-2,539308;1,090592;-2,892138;1,709382;0,1332958;-3,954425;-4,727155;2,541877;-3,799524;2,489269;0,5196929;0,2113151;-2,731002;-1,584762;-0,1294297;1,450459;1,33679;-4,585063;-3,32541;-1,416943;3,808468
