Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,4033404
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 13 | Name: car 32 | Brain Type: TotallyRandom | Fitness: 0,2628808 | BrainData : 1,719553;3,712342;3,260033;-1,031313;-4,839405;2,643279;-0,4783173;-1,141494;-2,570811;-2,307806;-4,011164;4,971627;-0,3061252;-2,576032;1,581698;4,556932;-4,957003;-1,260695;4,831373;-4,067858;-0,7709341;3,524342;-2,023242;4,865647;0,4092236;2,698044
Index: 14 | Name: car 17 | Brain Type: RandomParents | Fitness: 0,2620085 | BrainData : -4,610893;-1,597274;-4,799852;-2,032972;3,467434;-3,321455;3,881778;0,5900674;4,790918;1,745405;-4,219914;-0,1736803;-4,114693;-1,81927;-2,787814;1,577411;-2,856878;-1,834729;-0,8628292;2,799622;3,922215;-0,7608743;-1,244398;-0,8112855;2,110415;1,71306
Index: 15 | Name: car 45 | Brain Type: TOP2 | Fitness: 0,2612092 | BrainData : 2,581118;1,988255;1,736201;1,482179;1,144952;2,866274;3,297466;1,394177;-3,805312;-4,553467;0,0424819;2,897674;-2,725774;-1,8189;0,6686897;3,523126;-1,749236;-1,018688;-1,561642;-4,441549;3,034163;-3,170616;0,5676312;-0,2684875;4,747807;-4,228183
Index: 16 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,2606149 | BrainData : 4,414927;-3,535511;1,237526;1,499034;-3,867355;-4,709526;-3,353677;4,731004;0,9078984;-2,883108;0,2367263;0,5205588;0,6235523;4,708296;1,05709;-3,949362;-2,089122;2,722758;2,148624;-2,059477;-3,513857;4,218862;-4,501181;-3,670182;2,704721;2,89842
Index: 17 | Name: car 15 | Brain Type: RandomParents | Fitness: 0,260108 | BrainData : 4,983434;-3,062644;-2,922607;2,644635;-0,7022805;1,619014;-0,9553022;-4,276031;-0,9998245;-3,559036;3,160501;-1,576524;3,724032;2,773919;3,599559;-3,245228;0,4330702;-2,172144;-1,850434;-2,400702;2,702619;0,163743;0,2281313;2,633786;2,552052;3,430238
Index: 18 | Name: car 19 | Brain Type: RandomParents | Fitness: 0,2601035 | BrainData : 3,968626;-0,0779171;-4,950306;-1,445174;-4,961798;0,2471085;0,6046324;1,823291;3,058468;2,954426;1,680925;-0,5429535;3,381691;-0,4074507;-4,038358;2,326284;0,5156965;-2,315224;-3,127185;1,051655;1,645524;3,642797;0,8434434;1,30929;2,486145;-0,4092474
Index: 19 | Name: car 12 | Brain Type: RandomParents | Fitness: 0,2599806 | BrainData : 4,85052;-3,460274;-4,787811;-1,433992;3,328861;-3,516435;-0,6239491;-1,514168;2,841903;-0,528069;4,860501;4,913106;-4,810637;1,211999;-1,406792;2,693484;2,376523;1,414224;0,04775095;-3,490863;4,522752;-4,17952;0,5912657;-4,770981;3,858684;-0,4115539
Index: 20 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,2592337 | BrainData : 3,390404;4,808413;4,216943;-2,94251;4,533827;-4,657797;1,441378;-1,502524;3,474196;-3,622675;2,632121;-2,889439;0,7735996;-4,364103;-3,234962;-1,133;-0,900939;-4,787867;1,476551;3,112217;0,4883842;-3,387908;4,673002;3,131524;3,497078;-4,682276
Index: 21 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,2592028 | BrainData : -1,838992;4,955322;3,660635;0,4861026;2,831407;-3,425793;-2,544198;-1,69388;-0,7003112;4,646658;-1,639197;3,884104;4,23089;-4,753721;-0,869307;-1,944573;-3,701321;1,689966;0,8878179;-4,278798;0,5565782;4,882856;-2,024611;-0,7131047;4,382164;1,010918
Index: 22 | Name: car 18 | Brain Type: RandomParents | Fitness: 0,2589502 | BrainData : 4,491061;3,922629;3,692196;-3,467141;3,594924;2,905204;-3,847953;4,540628;2,733004;-4,10388;1,507729;0,235817;-2,855084;-4,919562;0,4976196;0,9044952;-1,753096;-3,894624;-1,687855;1,828438;-0,6055169;0,9495788;2,273139;4,719262;4,415994;-4,85991
