Generation: 338 | maxFitness: 2,42142 | maxFitnessGen: 1,595136 | maxFitnessGenBuf: 1,617189
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 14 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,471594 | BrainData : -2,713097;-3,601851;2,17609;-2,9769;2,662283;-2,547663;1,127568;-2,751281;1,699493;0,03679647;-4,040855;-4,705254;2,473936;-3,701847;2,447205;0,5776904;0,09108065;-2,650336;-1,633265;-0,2133389;1,351769;1,300835;-4,629079;-3,588427;-1,43947;3,775342
Index: 15 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,424032 | BrainData : -2,685764;-3,631665;2,18398;-3,037995;2,603885;-2,551539;1,16747;-2,856395;1,787895;0,09651166;-4,044358;-4,754541;2,531061;-3,794147;2,486981;0,4898493;0,08180439;-2,650815;-1,639368;-0,1998736;1,440987;1,192546;-4,634859;-3,529153;-1,409755;3,763924
Index: 16 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,418778 | BrainData : -2,685764;-3,577314;2,169857;-2,9769;2,688506;-2,547663;1,127568;-2,799911;1,699493;0,0098814;-4,040855;-4,727203;2,473936;-3,701847;2,457151;0,5776904;0,08929923;-2,69924;-1,573921;-0,1737923;1,311044;1,300835;-4,636096;-3,542336;-1,411593;3,786711
Index: 17 | Name: car 22 | Brain Type: RandomParents | Fitness: 1,417265 | BrainData : -2,685764;-3,58055;2,193191;-2,9769;2,616867;-2,547663;1,076799;-2,856822;1,699493;-0,02272052;-4,096756;-4,660619;2,519687;-3,684189;2,569342;0,6125041;0,07303391;-2,776217;-1,596871;-0,2315189;1,38359;1,300835;-4,591107;-3,597024;-1,438531;3,812079
Index: 18 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,396045 | BrainData : -2,65309;-3,617454;2,250194;-2,9769;2,71091;-2,547663;1,140887;-2,706246;1,699493;0,03376234;-4,042152;-4,751476;2,473936;-3,701847;2,528657;0,5966633;0,0510507;-2,729234;-1,59226;-0,253531;1,319857;1,326678;-4,609937;-3,634355;-1,449384;3,781664
Index: 19 | Name: car 21 | Brain Type: RandomParents | Fitness: 1,373609 | BrainData : -2,685764;-3,564855;2,21911;-3,016771;2,637502;-2,547893;1,086956;-2,799911;1,681066;0,03881615;-4,040855;-4,698709;2,484472;-3,716058;2,465525;0,5975142;0,1547853;-2,68995;-1,606517;-0,200161;1,300147;1,300835;-4,651333;-3,597024;-1,478627;3,788507
Index: 20 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,334196 | BrainData : -2,685764;-3,577314;2,197154;-2,9769;2,691112;-2,547663;1,127568;-2,807314;1,699493;0,0098814;-4,01871;-4,663137;2,465662;-3,701847;2,491006;0,5812538;0,09307981;-2,69924;-1,600293;-0,2080471;1,345184;1,339141;-4,609037;-3,582597;-1,43947;3,787006
Index: 21 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,292037 | BrainData : -2,64539;-3,577314;2,197154;-2,9769;2,639968;-2,547663;1,127568;-2,801854;1,699493;0,0098814;-4,038488;-4,704011;2,473936;-3,751728;2,491006;0,5865639;0,09307981;-2,663876;-1,599112;-0,2133389;1,371248;1,300835;-4,609037;-3,584728;-1,450132;3,786711
Index: 22 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,158469 | BrainData : -2,649173;-3,577314;2,197154;-2,973325;2,67394;-2,504868;1,097213;-2,799911;1,699493;0,0098814;-4,069989;-4,705254;2,473936;-3,667024;2,512433;0,5776904;0,09307981;-2,69924;-1,600293;-0,2548195;1,330044;1,300835;-4,609037;-3,584728;-1,473705;3,774086
Index: 23 | Name: car 47 | Brain Type: TOP2 | Fitness: 1,051103 | BrainData : -2,685764;-3,577314;2,197154;-2,982944;2,67394;-2,543142;1,127568;-2,799911;1,699493;0,0098814;-4,040855;-4,656034;2,501099;-3,701847;2,491006;0,539951;0,09307981;-2,69924;-1,55481;-0,2035148;1,308452;1,300835;-4,609037;-3,586578;-1,48686;3,760918
