Generation: 185 | maxFitness: 2,42142 | maxFitnessGen: 1,473834 | maxFitnessGenBuf: 1,528032
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 0 | Name: car 21 | Brain Type: RandomParents | Fitness: 1,528032 | BrainData : -2,987029;-3,907711;2,412739;-2,983829;1,991796;-2,688254;0,9554868;-3,229573;1,725071;0,2353124;-3,469069;-4,875278;2,865428;-3,347488;2,512934;0,4961263;0,04673886;-2,758348;-1,631166;-0,3001871;1,273597;1,33213;-4,437908;-3,138095;-1,432529;3,731608
Index: 1 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,517841 | BrainData : -3,062668;-3,941958;2,297824;-2,896785;2,032776;-2,753577;0,9300242;-3,226696;1,643978;0,2739916;-3,445908;-4,877079;2,936975;-3,292992;2,524473;0,5366942;0,03917908;-2,871503;-1,565893;-0,3406264;1,269828;1,288501;-4,400521;-3,152688;-1,473183;3,77049
Index: 2 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,514589 | BrainData : -3,062668;-3,951559;2,321697;-2,896785;2,020699;-2,742584;0,9067153;-3,237876;1,627001;0,2349587;-3,445908;-4,834912;2,922358;-3,280627;2,53084;0,5366942;0,00745092;-2,914664;-1,651947;-0,3719955;1,239181;1,332019;-4,400521;-3,170282;-1,473183;3,77049
Index: 3 | Name: car 20 | Brain Type: RandomParents | Fitness: 1,511531 | BrainData : -3,103473;-3,893654;2,297824;-2,922118;2,037051;-2,779642;0,9238045;-3,203489;1,640001;0,2225101;-3,445908;-4,877079;2,885656;-3,319639;2,472038;0,5604819;0,08020969;-2,807441;-1,572505;-0,3731051;1,239181;1,335656;-4,423021;-3,149682;-1,473183;3,770619
Index: 4 | Name: car 22 | Brain Type: RandomParents | Fitness: 1,50983 | BrainData : -3,062668;-3,956694;2,297611;-2,874024;2,020699;-2,777233;0,9606143;-3,226696;1,612107;0,2739916;-3,399999;-4,931652;2,87792;-3,382011;2,47863;0,5076039;0,08996166;-2,855499;-1,607316;-0,3791746;1,284191;1,332142;-4,498711;-3,127562;-1,44431;3,748497
Index: 5 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,487949 | BrainData : -3,062668;-3,981006;2,297824;-2,896785;1,999869;-2,69464;0,9300242;-3,226696;1,643978;0,2286189;-3,445908;-4,877079;2,922358;-3,279161;2,510058;0,5366942;0,0334363;-2,871503;-1,614745;-0,3791746;1,239181;1,294485;-4,400521;-3,130495;-1,473183;3,749
Index: 6 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,463543 | BrainData : -3,085579;-3,981006;2,271823;-2,911638;2,020699;-2,74206;0,9300242;-3,244976;1,616076;0,2481603;-3,445908;-4,877079;2,922358;-3,315172;2,53084;0,5366942;0,07903408;-2,871503;-1,614745;-0,3791746;1,239181;1,299225;-4,400521;-3,130495;-1,473183;3,77049
Index: 7 | Name: car 39 | Brain Type: TOP2 | Fitness: 1,449557 | BrainData : -3,062668;-4,022797;2,297824;-2,869935;2,020699;-2,698679;0,9300242;-3,19488;1,603282;0,2739916;-3,445908;-4,863357;2,934655;-3,279161;2,542016;0,5366942;0,03917908;-2,871503;-1,614745;-0,395519;1,239391;1,332019;-4,388703;-3,130495;-1,482007;3,77049
Index: 8 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,437232 | BrainData : -3,094386;-3,981006;2,294796;-2,866973;2,016831;-2,74206;0,9547075;-3,226696;1,643978;0,2807344;-3,413063;-4,921828;2,922358;-3,279161;2,53084;0,5366942;0,03917908;-2,838626;-1,59803;-0,4125744;1,189793;1,370354;-4,388811;-3,109796;-1,473183;3,728813
Index: 9 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,43704 | BrainData : -3,108299;-3,97668;2,343521;-2,859069;2,020699;-2,720266;0,9789271;-3,226696;1,643978;0,3121503;-3,420902;-4,852111;2,894491;-3,306779;2,511592;0,5787206;0,03917908;-2,839997;-1,637938;-0,3791746;1,239181;1,294958;-4,373764;-3,153811;-1,473183;3,77049
Index: 10 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,434316 | BrainData : -3,066088;-3,946377;2,297824;-2,874024;2,015722;-2,775631;0,9718218;-3,262838;1,650318;0,2370261;-3,445908;-4,858305;2,931959;-3,318109;2,448852;0,5078142;0,07602307;-2,791202;-1,591746;-0,3791746;1,198725;1,312397;-4,469382;-3,090541;-1,473183;3,73827
